M2	R2	Per	Sep	logJ	logjtot	logMLR2	zeta	logT2	log(g2)	logL2	Pdot	logt	BMag	VMag	RMag	IMag	JMag	HMag	KMag	SpT
Msun	Rsun	h	Rsun	[10-7J.s]	[10-7N.m]	[Msun/yr]	 	[K]	[cm2/s]	[10-7W]	s/s	[yr]	mag	mag	mag	mag	mag	mag	mag	
------	------	------	------	------	------	---------	------	------	------	------	---------	--------	-----	-----	-----	-----	-----	-----	-----	----
 0.184	 0.222	2.2264	 0.843	50.899	34.138	  -10.044	 0.705	 3.513	 5.011	31.282	-6.65e-14	 8.88721	13.97	12.57	11.53	10.13	 8.57	 7.99	 7.71	M4.2
 0.185	 0.222	2.2329	 0.845	50.902	34.139	  -10.042	 0.698	 3.513	 5.011	31.286	-6.60e-14	 8.88093	13.97	12.57	11.53	10.13	 8.57	 7.99	 7.71	M4.2
 0.186	 0.223	2.2393	 0.846	50.904	34.141	  -10.037	 0.694	 3.514	 5.010	31.291	-6.38e-14	 8.87460	13.94	12.54	11.50	10.10	 8.55	 7.98	 7.69	M4.2
 0.187	 0.224	2.2453	 0.848	50.907	34.143	  -10.033	 0.680	 3.514	 5.009	31.295	-6.18e-14	 8.86824	13.93	12.53	11.49	10.09	 8.54	 7.97	 7.68	M4.2
 0.188	 0.225	2.2512	 0.850	50.910	34.145	  -10.026	 0.667	 3.514	 5.008	31.299	-5.82e-14	 8.86185	13.92	12.52	11.48	10.08	 8.53	 7.96	 7.67	M4.2
 0.189	 0.226	2.2566	 0.852	50.912	34.147	  -10.018	 0.645	 3.515	 5.007	31.303	-5.34e-14	 8.85546	13.88	12.48	11.45	10.06	 8.51	 7.94	 7.66	M4.1
 0.190	 0.226	2.2615	 0.853	50.914	34.150	  -10.008	 0.615	 3.515	 5.007	31.307	-4.68e-14	 8.84910	13.88	12.48	11.45	10.06	 8.51	 7.94	 7.66	M4.1
 0.191	 0.227	2.2657	 0.855	50.917	34.153	   -9.994	 0.577	 3.515	 5.006	31.311	-3.81e-14	 8.84280	13.87	12.47	11.44	10.05	 8.50	 7.93	 7.65	M4.1
 0.192	 0.228	2.2690	 0.856	50.919	34.156	   -9.978	 0.528	 3.515	 5.006	31.314	-2.64e-14	 8.83660	13.86	12.46	11.43	10.04	 8.49	 7.92	 7.64	M4.1
 0.193	 0.228	2.2711	 0.857	50.921	34.161	   -9.957	 0.467	 3.516	 5.007	31.317	-1.11e-14	 8.83054	13.83	12.44	11.41	10.02	 8.48	 7.91	 7.63	M4.1
 0.194	 0.229	2.2720	 0.857	50.924	34.166	   -9.931	 0.393	 3.516	 5.007	31.320	 8.98e-15	 8.82470	13.82	12.43	11.40	10.01	 8.48	 7.90	 7.62	M4.1
 0.195	 0.229	2.2714	 0.857	50.926	34.172	   -9.900	 0.305	 3.516	 5.008	31.323	 3.49e-14	 8.81911	13.82	12.43	11.40	10.01	 8.48	 7.90	 7.62	M4.1
 0.196	 0.229	2.2689	 0.857	50.928	34.179	   -9.865	 0.204	 3.516	 5.009	31.324	 6.57e-14	 8.81385	13.82	12.43	11.40	10.01	 8.48	 7.90	 7.62	M4.1
 0.197	 0.229	2.2647	 0.856	50.929	34.187	   -9.825	 0.100	 3.517	 5.011	31.326	 1.05e-13	 8.80894	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.1
 0.198	 0.229	2.2586	 0.855	50.931	34.196	   -9.780	-0.014	 3.517	 5.013	31.327	 1.53e-13	 8.80441	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.1
 0.199	 0.229	2.2505	 0.853	50.932	34.207	   -9.732	-0.129	 3.517	 5.016	31.327	 2.09e-13	 8.80029	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.1
 0.200	 0.229	2.2406	 0.851	50.934	34.219	   -9.720	-0.240	 3.517	 5.019	31.327	 2.09e-13	 8.79656	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2422	 0.851	50.934	34.179	         	 0.770	 3.517	 5.019	31.327	-4.26e-13	 8.79649	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2432	 0.852	50.934	34.178	         	 0.770	 3.517	 5.019	31.327	-4.25e-13	 8.79631	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
 0.200	 0.229	2.2442	 0.852	50.934	34.178	         	 0.770	 3.517	 5.019	31.327	-4.25e-13	 8.79612	13.79	12.40	11.38	 9.99	 8.47	 7.90	 7.61	M4.0
