M2	R2	Per	Sep	logJ	logjtot	logMLR2	zeta	logT2	log(g2)	logL2	Pdot	logt	BMag	VMag	RMag	IMag	JMag	HMag	KMag	SpT
Msun	Rsun	h	Rsun	[10-7J.s]	[10-7N.m]	[Msun/yr]	 	[K]	[cm2/s]	[10-7W]	s/s	[yr]	mag	mag	mag	mag	mag	mag	mag	
------	------	------	------	------	------	---------	------	------	------	------	---------	--------	-----	-----	-----	-----	-----	-----	-----	----
 0.040	 0.098	1.3939	 0.583	50.193	32.925	  -11.077	-0.015	 3.038	 5.054	28.678	 1.65e-14	 9.85600	30.29	26.00	21.51	18.56	14.62	14.73	14.68	T
 0.041	 0.098	1.3767	 0.579	50.202	32.959	  -11.043	-0.015	 3.053	 5.065	28.737	 1.68e-14	 9.84871	29.80	25.82	21.37	18.42	14.46	14.56	14.48	T
 0.042	 0.098	1.3604	 0.574	50.210	32.991	  -11.011	-0.008	 3.068	 5.076	28.795	 1.70e-14	 9.84187	29.32	25.63	21.23	18.28	14.31	14.38	14.27	T
 0.043	 0.098	1.3452	 0.570	50.219	33.023	  -10.984	 0.001	 3.083	 5.086	28.855	 1.60e-14	 9.83541	28.84	25.42	21.07	18.13	14.16	14.20	14.07	T
 0.044	 0.098	1.3316	 0.567	50.227	33.053	  -10.957	 0.027	 3.100	 5.096	28.923	 1.56e-14	 9.82926	28.35	25.16	20.87	17.93	13.98	14.00	13.86	T
 0.045	 0.098	1.3192	 0.563	50.235	33.081	  -10.930	 0.044	 3.116	 5.104	28.988	 1.52e-14	 9.82339	27.87	24.91	20.67	17.73	13.81	13.80	13.66	T
 0.046	 0.099	1.3079	 0.560	50.243	33.109	  -10.904	 0.058	 3.131	 5.113	29.048	 1.49e-14	 9.81781	27.49	24.65	20.45	17.50	13.64	13.61	13.48	T
 0.047	 0.099	1.2974	 0.558	50.251	33.136	  -10.879	 0.071	 3.144	 5.121	29.104	 1.48e-14	 9.81248	27.16	24.44	20.27	17.32	13.51	13.46	13.34	T
 0.048	 0.099	1.2876	 0.555	50.259	33.161	  -10.853	 0.082	 3.157	 5.129	29.155	 1.48e-14	 9.80739	26.82	24.19	20.04	17.09	13.36	13.29	13.20	T
 0.049	 0.099	1.2783	 0.553	50.267	33.186	  -10.828	 0.088	 3.168	 5.136	29.202	 1.49e-14	 9.80254	26.52	23.96	19.84	16.89	13.23	13.15	13.07	T
 0.050	 0.099	1.2695	 0.550	50.274	33.210	  -10.806	 0.094	 3.178	 5.143	29.246	 1.45e-14	 9.79791	26.26	23.75	19.65	16.71	13.11	13.02	12.96	T
 0.051	 0.099	1.2614	 0.548	50.282	33.234	  -10.783	 0.106	 3.189	 5.150	29.290	 1.41e-14	 9.79347	26.02	23.53	19.46	16.55	13.02	12.90	12.85	T
 0.052	 0.100	1.2539	 0.546	50.289	33.256	  -10.763	 0.116	 3.199	 5.156	29.333	 1.35e-14	 9.78920	25.79	23.31	19.27	16.38	12.90	12.77	12.73	T
 0.053	 0.100	1.2471	 0.544	50.297	33.278	  -10.745	 0.130	 3.210	 5.162	29.377	 1.23e-14	 9.78509	25.56	23.08	19.08	16.23	12.81	12.66	12.61	T
 0.054	 0.100	1.2411	 0.543	50.304	33.299	  -10.727	 0.150	 3.220	 5.168	29.422	 1.12e-14	 9.78112	25.36	22.86	18.91	16.09	12.72	12.56	12.49	T
 0.055	 0.101	1.2358	 0.542	50.311	33.319	  -10.712	 0.168	 3.231	 5.173	29.466	 9.84e-15	 9.77726	25.14	22.61	18.73	15.96	12.63	12.42	12.32	T
 0.056	 0.101	1.2314	 0.541	50.318	33.338	  -10.697	 0.189	 3.241	 5.178	29.511	 8.39e-15	 9.77351	25.62	22.63	19.13	16.56	12.94	12.34	11.97	T
 0.057	 0.101	1.2277	 0.540	50.325	33.356	  -10.683	 0.210	 3.252	 5.183	29.556	 6.96e-15	 9.76986	26.16	22.66	19.57	17.24	13.29	12.25	11.57	L9.5
 0.058	 0.102	1.2248	 0.539	50.332	33.373	  -10.670	 0.230	 3.262	 5.187	29.599	 5.23e-15	 9.76629	25.83	22.31	19.32	17.02	13.12	12.06	11.37	L9.2
 0.059	 0.102	1.2227	 0.539	50.339	33.390	  -10.658	 0.254	 3.271	 5.190	29.641	 3.69e-15	 9.76279	25.20	21.85	18.83	16.47	12.77	11.88	11.30	L3.5
 0.060	 0.103	1.2212	 0.538	50.346	33.405	  -10.646	 0.275	 3.281	 5.194	29.682	 2.18e-15	 9.75937	24.61	21.42	18.36	15.95	12.43	11.69	11.20	L0.3
 0.061	 0.103	1.2203	 0.538	50.353	33.420	  -10.635	 0.294	 3.289	 5.197	29.722	 7.55e-16	 9.75601	24.57	21.38	18.32	15.90	12.39	11.65	11.17	L0.2
 0.062	 0.104	1.2201	 0.539	50.360	33.434	  -10.625	 0.313	 3.298	 5.199	29.760	-6.43e-16	 9.75271	24.51	21.33	18.24	15.82	12.32	11.58	11.11	L0.1
 0.063	 0.104	1.2203	 0.539	50.367	33.447	  -10.616	 0.331	 3.306	 5.202	29.796	-2.28e-15	 9.74946	24.26	21.18	18.17	15.74	12.24	11.51	11.04	M9.9
 0.064	 0.105	1.2211	 0.539	50.373	33.460	  -10.608	 0.351	 3.313	 5.204	29.832	-4.15e-15	 9.74625	23.92	20.96	18.07	15.62	12.12	11.39	10.95	M9.8
 0.065	 0.105	1.2226	 0.540	50.380	33.472	  -10.600	 0.375	 3.321	 5.205	29.867	-5.75e-15	 9.74308	23.54	20.72	17.99	15.52	12.00	11.29	10.87	M9.7
 0.066	 0.106	1.2246	 0.541	50.387	33.483	  -10.592	 0.395	 3.328	 5.207	29.901	-7.13e-15	 9.73995	23.18	20.50	17.89	15.40	11.88	11.17	10.78	M9.5
 0.067	 0.107	1.2270	 0.542	50.394	33.494	  -10.585	 0.412	 3.335	 5.208	29.933	-8.36e-15	 9.73684	22.82	20.27	17.79	15.28	11.76	11.06	10.69	M9.4
 0.068	 0.107	1.2299	 0.543	50.400	33.504	  -10.578	 0.427	 3.341	 5.209	29.964	-9.75e-15	 9.73377	22.52	20.09	17.72	15.20	11.67	10.97	10.62	M9.3
 0.069	 0.108	1.2331	 0.544	50.407	33.514	  -10.572	 0.443	 3.347	 5.210	29.995	-1.12e-14	 9.73073	22.19	19.88	17.62	15.09	11.55	10.87	10.54	M9.2
 0.070	 0.109	1.2368	 0.545	50.413	33.523	  -10.567	 0.461	 3.353	 5.210	30.024	-1.28e-14	 9.72770	21.87	19.68	17.53	14.98	11.44	10.76	10.45	M9.1
 0.071	 0.109	1.2409	 0.547	50.420	33.532	  -10.562	 0.481	 3.359	 5.210	30.054	-1.43e-14	 9.72469	21.56	19.49	17.46	14.89	11.35	10.67	10.38	M9.0
 0.072	 0.110	1.2455	 0.548	50.426	33.540	  -10.558	 0.500	 3.365	 5.210	30.082	-1.58e-14	 9.72169	21.26	19.26	17.31	14.76	11.26	10.59	10.30	M8.8
 0.073	 0.111	1.2505	 0.550	50.432	33.548	  -10.555	 0.518	 3.370	 5.210	30.110	-1.73e-14	 9.71870	21.03	19.05	17.15	14.63	11.19	10.53	10.24	M8.5
 0.074	 0.112	1.2559	 0.552	50.439	33.555	  -10.551	 0.536	 3.376	 5.210	30.138	-1.87e-14	 9.71571	20.75	18.80	16.96	14.47	11.12	10.46	10.17	M8.2
 0.075	 0.113	1.2618	 0.554	50.445	33.561	  -10.549	 0.554	 3.381	 5.209	30.165	-2.02e-14	 9.71273	20.52	18.59	16.79	14.34	11.06	10.40	10.11	M8.0
 0.076	 0.114	1.2680	 0.556	50.451	33.568	  -10.547	 0.574	 3.386	 5.208	30.191	-2.17e-14	 9.70974	20.29	18.38	16.62	14.20	11.00	10.35	10.05	M7.8
 0.077	 0.114	1.2747	 0.558	50.458	33.573	  -10.544	 0.593	 3.390	 5.207	30.217	-2.27e-14	 9.70674	20.12	18.23	16.50	14.11	10.96	10.32	10.01	M7.7
 0.078	 0.115	1.2817	 0.560	50.464	33.579	  -10.541	 0.607	 3.395	 5.206	30.242	-2.34e-14	 9.70375	19.88	18.02	16.33	13.98	10.90	10.26	 9.95	M7.5
 0.079	 0.116	1.2888	 0.562	50.470	33.584	  -10.539	 0.615	 3.399	 5.205	30.265	-2.45e-14	 9.70075	19.69	17.85	16.19	13.86	10.85	10.21	 9.90	M7.4
 0.080	 0.117	1.2962	 0.565	50.476	33.589	  -10.537	 0.629	 3.403	 5.203	30.288	-2.54e-14	 9.69775	19.50	17.68	16.05	13.75	10.80	10.16	 9.85	M7.2
 0.081	 0.118	1.3039	 0.567	50.482	33.593	  -10.536	 0.642	 3.407	 5.202	30.310	-2.65e-14	 9.69473	19.32	17.51	15.91	13.64	10.75	10.11	 9.80	M7.1
 0.082	 0.119	1.3119	 0.570	50.488	33.597	  -10.534	 0.657	 3.411	 5.200	30.332	-2.71e-14	 9.69171	19.13	17.34	15.77	13.53	10.69	10.06	 9.75	M7.0
 0.083	 0.120	1.3201	 0.572	50.494	33.601	  -10.532	 0.665	 3.414	 5.198	30.352	-2.76e-14	 9.68868	18.98	17.21	15.66	13.44	10.65	10.02	 9.71	M7.0
 0.084	 0.121	1.3283	 0.575	50.500	33.605	  -10.530	 0.671	 3.417	 5.197	30.372	-2.82e-14	 9.68564	18.84	17.08	15.54	13.35	10.61	 9.98	 9.67	M6.9
 0.085	 0.122	1.3367	 0.578	50.506	33.609	  -10.529	 0.680	 3.420	 5.195	30.392	-2.89e-14	 9.68260	18.69	16.95	15.43	13.27	10.57	 9.94	 9.63	M6.8
 0.086	 0.123	1.3452	 0.580	50.512	33.612	  -10.528	 0.689	 3.423	 5.193	30.411	-2.96e-14	 9.67954	18.55	16.82	15.32	13.18	10.53	 9.90	 9.59	M6.8
 0.087	 0.124	1.3540	 0.583	50.518	33.616	  -10.527	 0.699	 3.426	 5.191	30.429	-3.01e-14	 9.67646	18.41	16.69	15.21	13.09	10.49	 9.86	 9.55	M6.7
 0.088	 0.125	1.3628	 0.586	50.523	33.619	  -10.524	 0.706	 3.429	 5.189	30.447	-3.01e-14	 9.67338	18.26	16.55	15.09	13.01	10.45	 9.82	 9.51	M6.7
 0.089	 0.126	1.3716	 0.589	50.529	33.622	  -10.522	 0.707	 3.431	 5.187	30.464	-3.02e-14	 9.67028	18.16	16.46	15.01	12.94	10.41	 9.79	 9.48	M6.6
 0.090	 0.127	1.3804	 0.591	50.535	33.625	  -10.520	 0.708	 3.434	 5.185	30.481	-3.04e-14	 9.66719	18.02	16.33	14.91	12.86	10.37	 9.75	 9.44	M6.6
 0.091	 0.128	1.3893	 0.594	50.540	33.628	  -10.519	 0.711	 3.436	 5.183	30.497	-3.08e-14	 9.66408	17.92	16.25	14.83	12.80	10.34	 9.72	 9.41	M6.5
 0.092	 0.129	1.3982	 0.597	50.546	33.630	  -10.518	 0.717	 3.438	 5.181	30.513	-3.13e-14	 9.66096	17.82	16.16	14.75	12.73	10.31	 9.69	 9.38	M6.5
 0.093	 0.130	1.4072	 0.600	50.551	33.633	  -10.518	 0.725	 3.441	 5.179	30.529	-3.20e-14	 9.65782	17.69	16.03	14.64	12.65	10.27	 9.65	 9.34	M6.4
 0.094	 0.131	1.4165	 0.603	50.557	33.635	  -10.518	 0.735	 3.443	 5.176	30.544	-3.26e-14	 9.65466	17.59	15.94	14.56	12.59	10.24	 9.62	 9.31	M6.4
 0.095	 0.132	1.4259	 0.606	50.562	33.638	  -10.517	 0.744	 3.445	 5.174	30.560	-3.26e-14	 9.65147	17.49	15.85	14.49	12.53	10.20	 9.59	 9.28	M6.3
 0.096	 0.133	1.4353	 0.608	50.567	33.640	  -10.515	 0.745	 3.447	 5.172	30.574	-3.25e-14	 9.64828	17.39	15.76	14.41	12.47	10.17	 9.56	 9.25	M6.3
 0.097	 0.134	1.4446	 0.611	50.573	33.642	  -10.514	 0.744	 3.449	 5.170	30.589	-3.27e-14	 9.64507	17.30	15.67	14.33	12.41	10.14	 9.53	 9.22	M6.2
 0.098	 0.135	1.4540	 0.614	50.578	33.644	  -10.513	 0.747	 3.451	 5.167	30.602	-3.28e-14	 9.64185	17.20	15.59	14.26	12.35	10.11	 9.50	 9.19	M6.2
 0.099	 0.136	1.4634	 0.617	50.583	33.646	  -10.512	 0.750	 3.452	 5.165	30.616	-3.30e-14	 9.63861	17.15	15.54	14.21	12.31	10.09	 9.48	 9.17	M6.2
 0.100	 0.137	1.4727	 0.620	50.588	33.648	  -10.511	 0.752	 3.454	 5.163	30.629	-3.31e-14	 9.63535	17.05	15.45	14.14	12.25	10.06	 9.45	 9.14	M6.1
 0.101	 0.138	1.4822	 0.623	50.593	33.650	  -10.510	 0.756	 3.456	 5.161	30.642	-3.33e-14	 9.63208	16.96	15.37	14.06	12.20	10.02	 9.42	 9.11	M6.1
 0.102	 0.139	1.4916	 0.626	50.598	33.652	  -10.510	 0.759	 3.457	 5.159	30.655	-3.36e-14	 9.62878	16.91	15.32	14.02	12.16	10.00	 9.40	 9.09	M6.1
 0.103	 0.140	1.5011	 0.629	50.603	33.654	  -10.510	 0.763	 3.459	 5.156	30.668	-3.39e-14	 9.62547	16.81	15.23	13.94	12.10	 9.97	 9.37	 9.06	M6.0
 0.104	 0.141	1.5108	 0.632	50.608	33.655	  -10.509	 0.770	 3.460	 5.154	30.680	-3.41e-14	 9.62213	16.76	15.18	13.90	12.06	 9.95	 9.35	 9.04	M6.0
 0.105	 0.142	1.5204	 0.634	50.613	33.657	  -10.507	 0.773	 3.462	 5.152	30.692	-3.37e-14	 9.61877	16.66	15.09	13.82	12.00	 9.92	 9.32	 9.01	M5.9
 0.106	 0.143	1.5299	 0.637	50.618	33.659	  -10.506	 0.768	 3.463	 5.150	30.704	-3.37e-14	 9.61539	16.61	15.04	13.78	11.97	 9.89	 9.29	 8.98	M5.9
 0.107	 0.144	1.5394	 0.640	50.623	33.660	  -10.505	 0.767	 3.464	 5.147	30.715	-3.36e-14	 9.61200	16.56	15.00	13.73	11.93	 9.87	 9.27	 8.96	M5.9
 0.108	 0.146	1.5488	 0.643	50.628	33.662	  -10.504	 0.767	 3.466	 5.145	30.726	-3.37e-14	 9.60860	16.46	14.90	13.65	11.87	 9.83	 9.23	 8.92	M5.8
 0.109	 0.147	1.5582	 0.646	50.632	33.664	  -10.503	 0.768	 3.467	 5.143	30.737	-3.36e-14	 9.60517	16.41	14.85	13.61	11.83	 9.80	 9.21	 8.90	M5.8
 0.110	 0.148	1.5676	 0.649	50.637	33.665	  -10.502	 0.768	 3.468	 5.141	30.748	-3.36e-14	 9.60172	16.36	14.81	13.56	11.80	 9.78	 9.19	 8.88	M5.8
 0.111	 0.149	1.5770	 0.652	50.642	33.667	  -10.501	 0.768	 3.469	 5.139	30.759	-3.36e-14	 9.59826	16.31	14.76	13.52	11.76	 9.76	 9.16	 8.86	M5.8
 0.112	 0.150	1.5863	 0.654	50.646	33.669	  -10.500	 0.768	 3.470	 5.137	30.769	-3.35e-14	 9.59477	16.26	14.71	13.48	11.73	 9.74	 9.14	 8.84	M5.7
 0.113	 0.151	1.5956	 0.657	50.651	33.670	  -10.499	 0.768	 3.471	 5.135	30.779	-3.36e-14	 9.59127	16.20	14.66	13.44	11.70	 9.72	 9.12	 8.81	M5.7
 0.114	 0.152	1.6049	 0.660	50.655	33.672	  -10.498	 0.770	 3.472	 5.133	30.789	-3.35e-14	 9.58775	16.15	14.62	13.39	11.66	 9.70	 9.10	 8.79	M5.7
 0.115	 0.153	1.6141	 0.663	50.660	33.673	  -10.497	 0.769	 3.473	 5.131	30.799	-3.36e-14	 9.58420	16.10	14.57	13.35	11.63	 9.67	 9.08	 8.77	M5.6
 0.116	 0.154	1.6234	 0.666	50.664	33.675	  -10.497	 0.771	 3.474	 5.129	30.809	-3.38e-14	 9.58063	16.05	14.52	13.31	11.59	 9.65	 9.06	 8.75	M5.6
 0.117	 0.155	1.6327	 0.668	50.668	33.676	  -10.497	 0.774	 3.475	 5.127	30.819	-3.43e-14	 9.57704	16.00	14.47	13.27	11.56	 9.63	 9.04	 8.73	M5.6
 0.118	 0.156	1.6421	 0.671	50.673	33.678	  -10.495	 0.783	 3.476	 5.124	30.829	-3.37e-14	 9.57341	15.95	14.43	13.23	11.53	 9.61	 9.02	 8.71	M5.5
 0.119	 0.157	1.6513	 0.674	50.677	33.679	  -10.494	 0.774	 3.477	 5.122	30.838	-3.37e-14	 9.56977	15.90	14.38	13.18	11.49	 9.59	 8.99	 8.69	M5.5
 0.120	 0.158	1.6605	 0.677	50.681	33.681	  -10.493	 0.775	 3.478	 5.120	30.847	-3.37e-14	 9.56611	15.85	14.34	13.14	11.46	 9.57	 8.97	 8.67	M5.5
 0.121	 0.159	1.6697	 0.680	50.686	33.682	  -10.492	 0.776	 3.479	 5.119	30.856	-3.36e-14	 9.56242	15.81	14.29	13.10	11.43	 9.54	 8.95	 8.65	M5.5
 0.122	 0.160	1.6789	 0.682	50.690	33.683	  -10.490	 0.774	 3.480	 5.117	30.865	-3.34e-14	 9.55871	15.76	14.25	13.06	11.40	 9.52	 8.93	 8.63	M5.4
 0.123	 0.161	1.6879	 0.685	50.694	33.685	  -10.490	 0.771	 3.481	 5.115	30.874	-3.35e-14	 9.55499	15.71	14.20	13.02	11.37	 9.50	 8.91	 8.61	M5.4
 0.124	 0.162	1.6970	 0.688	50.698	33.686	  -10.489	 0.773	 3.481	 5.113	30.882	-3.34e-14	 9.55123	15.70	14.19	13.01	11.35	 9.49	 8.90	 8.60	M5.4
 0.125	 0.163	1.7060	 0.690	50.702	33.688	  -10.488	 0.772	 3.482	 5.111	30.891	-3.33e-14	 9.54746	15.65	14.15	12.97	11.32	 9.47	 8.88	 8.58	M5.4
 0.126	 0.164	1.7150	 0.693	50.706	33.689	  -10.486	 0.771	 3.483	 5.109	30.899	-3.31e-14	 9.54366	15.60	14.10	12.93	11.29	 9.45	 8.86	 8.56	M5.3
 0.127	 0.165	1.7239	 0.696	50.710	33.691	  -10.486	 0.768	 3.484	 5.107	30.907	-3.33e-14	 9.53983	15.56	14.06	12.89	11.26	 9.43	 8.84	 8.54	M5.3
 0.128	 0.166	1.7328	 0.698	50.714	33.692	  -10.484	 0.771	 3.484	 5.105	30.915	-3.30e-14	 9.53598	15.54	14.05	12.88	11.25	 9.41	 8.82	 8.52	M5.3
 0.129	 0.167	1.7416	 0.701	50.718	33.693	  -10.483	 0.768	 3.485	 5.103	30.923	-3.31e-14	 9.53211	15.50	14.00	12.84	11.22	 9.39	 8.80	 8.50	M5.3
 0.130	 0.168	1.7504	 0.704	50.722	33.695	  -10.482	 0.769	 3.486	 5.102	30.931	-3.29e-14	 9.52822	15.45	13.96	12.80	11.18	 9.37	 8.78	 8.48	M5.2
 0.131	 0.169	1.7592	 0.706	50.726	33.696	  -10.481	 0.767	 3.486	 5.100	30.939	-3.29e-14	 9.52429	15.44	13.95	12.79	11.17	 9.36	 8.77	 8.47	M5.2
 0.132	 0.170	1.7679	 0.709	50.730	33.698	  -10.480	 0.768	 3.487	 5.098	30.947	-3.29e-14	 9.52035	15.39	13.90	12.75	11.14	 9.34	 8.75	 8.45	M5.2
 0.133	 0.171	1.7766	 0.712	50.734	33.699	  -10.478	 0.767	 3.488	 5.096	30.954	-3.27e-14	 9.51637	15.34	13.86	12.71	11.11	 9.32	 8.73	 8.43	M5.2
 0.134	 0.172	1.7852	 0.714	50.737	33.700	  -10.478	 0.765	 3.488	 5.095	30.962	-3.28e-14	 9.51237	15.33	13.85	12.70	11.10	 9.31	 8.72	 8.42	M5.2
 0.135	 0.173	1.7939	 0.717	50.741	33.702	  -10.476	 0.766	 3.489	 5.093	30.970	-3.25e-14	 9.50835	15.28	13.80	12.66	11.07	 9.29	 8.70	 8.40	M5.1
 0.136	 0.174	1.8024	 0.719	50.745	33.703	  -10.474	 0.762	 3.490	 5.091	30.977	-3.22e-14	 9.50430	15.24	13.76	12.62	11.04	 9.27	 8.68	 8.38	M5.1
 0.137	 0.175	1.8108	 0.722	50.749	33.705	  -10.471	 0.757	 3.490	 5.090	30.984	-3.16e-14	 9.50023	15.22	13.75	12.61	11.02	 9.25	 8.67	 8.37	M5.1
 0.138	 0.176	1.8190	 0.724	50.752	33.706	  -10.468	 0.749	 3.491	 5.088	30.991	-3.11e-14	 9.49615	15.18	13.70	12.57	10.99	 9.23	 8.65	 8.35	M5.1
 0.139	 0.177	1.8270	 0.727	50.756	33.708	  -10.467	 0.741	 3.492	 5.086	30.999	-3.12e-14	 9.49205	15.13	13.66	12.53	10.96	 9.21	 8.63	 8.33	M5.0
 0.140	 0.178	1.8350	 0.729	50.759	33.710	  -10.466	 0.741	 3.492	 5.085	31.006	-3.12e-14	 9.48793	15.12	13.65	12.52	10.95	 9.20	 8.62	 8.32	M5.0
 0.141	 0.179	1.8430	 0.731	50.763	33.711	  -10.464	 0.742	 3.493	 5.083	31.013	-3.10e-14	 9.48378	15.08	13.61	12.48	10.92	 9.18	 8.60	 8.30	M5.0
 0.142	 0.179	1.8509	 0.734	50.767	33.713	  -10.463	 0.739	 3.494	 5.082	31.021	-3.10e-14	 9.47961	15.04	13.58	12.46	10.90	 9.18	 8.59	 8.29	M5.0
 0.143	 0.180	1.8588	 0.736	50.770	33.714	  -10.462	 0.739	 3.494	 5.081	31.028	-3.10e-14	 9.47542	15.03	13.56	12.45	10.89	 9.16	 8.58	 8.28	M5.0
 0.144	 0.181	1.8667	 0.738	50.774	33.716	  -10.460	 0.739	 3.495	 5.079	31.035	-3.09e-14	 9.47119	14.99	13.52	12.41	10.86	 9.14	 8.56	 8.26	M4.9
 0.145	 0.182	1.8745	 0.741	50.777	33.718	  -10.458	 0.738	 3.496	 5.078	31.042	-3.07e-14	 9.46694	14.94	13.48	12.37	10.83	 9.12	 8.54	 8.25	M4.9
 0.146	 0.183	1.8822	 0.743	50.780	33.719	  -10.457	 0.735	 3.496	 5.076	31.049	-3.09e-14	 9.46266	14.93	13.47	12.36	10.82	 9.11	 8.53	 8.23	M4.9
 0.147	 0.184	1.8900	 0.745	50.784	33.721	  -10.455	 0.738	 3.497	 5.075	31.056	-3.07e-14	 9.45835	14.89	13.43	12.32	10.79	 9.09	 8.51	 8.22	M4.8
 0.148	 0.185	1.8977	 0.748	50.787	33.723	  -10.454	 0.735	 3.498	 5.073	31.063	-3.08e-14	 9.45401	14.84	13.39	12.28	10.76	 9.07	 8.49	 8.20	M4.8
 0.149	 0.186	1.9054	 0.750	50.791	33.724	  -10.452	 0.736	 3.498	 5.072	31.070	-3.06e-14	 9.44965	14.83	13.37	12.27	10.75	 9.06	 8.48	 8.19	M4.8
 0.150	 0.187	1.9130	 0.752	50.794	33.726	  -10.451	 0.733	 3.499	 5.071	31.077	-3.07e-14	 9.44525	14.78	13.33	12.23	10.72	 9.04	 8.46	 8.17	M4.8
 0.151	 0.188	1.9206	 0.755	50.797	33.727	  -10.450	 0.735	 3.499	 5.069	31.083	-3.06e-14	 9.44083	14.77	13.32	12.22	10.71	 9.03	 8.45	 8.16	M4.8
 0.152	 0.189	1.9281	 0.757	50.800	33.729	  -10.448	 0.733	 3.500	 5.068	31.090	-3.05e-14	 9.43637	14.73	13.28	12.19	10.68	 9.01	 8.43	 8.14	M4.7
 0.153	 0.190	1.9356	 0.759	50.804	33.731	  -10.446	 0.731	 3.501	 5.067	31.096	-3.04e-14	 9.43189	14.68	13.24	12.15	10.65	 8.99	 8.42	 8.12	M4.7
 0.154	 0.191	1.9431	 0.761	50.807	33.732	  -10.445	 0.730	 3.501	 5.065	31.103	-3.05e-14	 9.42737	14.67	13.23	12.14	10.64	 8.98	 8.40	 8.11	M4.7
 0.155	 0.191	1.9506	 0.763	50.810	33.734	  -10.443	 0.731	 3.502	 5.064	31.109	-3.03e-14	 9.42282	14.64	13.20	12.11	10.63	 8.98	 8.40	 8.10	M4.6
 0.156	 0.192	1.9579	 0.766	50.813	33.735	  -10.442	 0.729	 3.502	 5.063	31.116	-3.04e-14	 9.41824	14.63	13.19	12.10	10.61	 8.96	 8.39	 8.09	M4.6
 0.157	 0.193	1.9653	 0.768	50.816	33.737	  -10.441	 0.729	 3.503	 5.062	31.122	-3.04e-14	 9.41363	14.58	13.14	12.06	10.59	 8.95	 8.37	 8.08	M4.6
 0.158	 0.194	1.9727	 0.770	50.820	33.739	  -10.439	 0.730	 3.503	 5.060	31.128	-3.02e-14	 9.40898	14.57	13.13	12.05	10.58	 8.93	 8.36	 8.06	M4.6
 0.159	 0.195	1.9799	 0.772	50.823	33.740	  -10.440	 0.727	 3.504	 5.059	31.134	-3.09e-14	 9.40430	14.53	13.09	12.02	10.55	 8.92	 8.34	 8.05	M4.6
 0.160	 0.196	1.9874	 0.774	50.826	33.742	  -10.441	 0.737	 3.505	 5.058	31.140	-3.19e-14	 9.39957	14.48	13.05	11.98	10.52	 8.90	 8.32	 8.03	M4.5
 0.161	 0.197	1.9951	 0.777	50.829	33.743	  -10.440	 0.753	 3.505	 5.056	31.147	-3.16e-14	 9.39476	14.47	13.04	11.97	10.51	 8.89	 8.31	 8.02	M4.5
 0.162	 0.198	2.0027	 0.779	50.832	33.744	  -10.439	 0.749	 3.505	 5.055	31.152	-3.16e-14	 9.38991	14.46	13.03	11.96	10.50	 8.88	 8.30	 8.01	M4.5
 0.163	 0.199	2.0104	 0.781	50.835	33.746	  -10.437	 0.749	 3.506	 5.054	31.158	-3.16e-14	 9.38503	14.42	12.99	11.92	10.47	 8.86	 8.28	 7.99	M4.5
 0.164	 0.200	2.0179	 0.784	50.838	33.747	  -10.436	 0.748	 3.506	 5.052	31.163	-3.16e-14	 9.38010	14.41	12.98	11.91	10.46	 8.85	 8.27	 7.98	M4.5
 0.165	 0.200	2.0255	 0.786	50.841	33.748	  -10.435	 0.748	 3.507	 5.051	31.169	-3.14e-14	 9.37513	14.38	12.95	11.89	10.44	 8.84	 8.26	 7.97	M4.4
 0.166	 0.201	2.0330	 0.788	50.844	33.750	  -10.434	 0.746	 3.507	 5.050	31.174	-3.15e-14	 9.37012	14.37	12.94	11.88	10.43	 8.83	 8.25	 7.96	M4.4
 0.167	 0.202	2.0405	 0.790	50.847	33.751	  -10.432	 0.747	 3.507	 5.049	31.179	-3.13e-14	 9.36507	14.36	12.93	11.87	10.42	 8.82	 8.24	 7.95	M4.4
 0.168	 0.203	2.0479	 0.792	50.850	33.752	  -10.432	 0.745	 3.508	 5.047	31.184	-3.16e-14	 9.35997	14.32	12.90	11.84	10.40	 8.80	 8.22	 7.93	M4.4
 0.169	 0.204	2.0554	 0.795	50.853	33.754	  -10.429	 0.749	 3.508	 5.046	31.190	-3.11e-14	 9.35481	14.31	12.88	11.83	10.39	 8.79	 8.21	 7.92	M4.4
 0.170	 0.205	2.0627	 0.797	50.856	33.755	  -10.429	 0.742	 3.508	 5.045	31.195	-3.14e-14	 9.34963	14.30	12.87	11.81	10.37	 8.78	 8.20	 7.91	M4.4
 0.171	 0.206	2.0701	 0.799	50.859	33.756	  -10.427	 0.745	 3.509	 5.044	31.200	-3.12e-14	 9.34439	14.26	12.84	11.78	10.35	 8.76	 8.18	 7.90	M4.4
 0.172	 0.207	2.0774	 0.801	50.862	33.758	  -10.426	 0.743	 3.509	 5.042	31.205	-3.10e-14	 9.33910	14.25	12.83	11.77	10.34	 8.75	 8.17	 7.89	M4.4
 0.173	 0.208	2.0846	 0.803	50.865	33.759	  -10.425	 0.740	 3.509	 5.041	31.210	-3.12e-14	 9.33377	14.24	12.82	11.76	10.33	 8.74	 8.16	 7.87	M4.4
 0.174	 0.209	2.0919	 0.805	50.867	33.761	  -10.423	 0.742	 3.510	 5.040	31.215	-3.10e-14	 9.32838	14.20	12.78	11.73	10.30	 8.72	 8.15	 7.86	M4.3
