  234   0.200  2.3145
  235   0.200  2.3155
  236   0.200  2.3165
  237   0.200  2.3175
  238   0.200  2.3185
  239   0.200  2.3195
  240   0.200  2.3205
  241   0.200  2.3215
  242   0.200  2.3225
  243   0.200  2.3235
  244   0.200  2.3245
  245   0.200  2.3255
  246   0.200  2.3265
  247   0.200  2.3275
  248   0.200  2.3285
  249   0.200  2.3295
  250   0.200  2.3305
  251   0.200  2.3315
  252   0.200  2.3325
  253   0.200  2.3335
  254   0.200  2.3345
  255   0.200  2.3355
  256   0.200  2.3365
  257   0.200  2.3375
  258   0.200  2.3385
  259   0.200  2.3395
  260   0.200  2.3405
  261   0.200  2.3415
  262   0.200  2.3425
  263   0.200  2.3435
  264   0.200  2.3445
  265   0.200  2.3455
  266   0.200  2.3465
  267   0.200  2.3475
  268   0.200  2.3485
  269   0.200  2.3495
  270   0.200  2.3505
  271   0.200  2.3515
  272   0.200  2.3525
  273   0.200  2.3535
  274   0.200  2.3545
  275   0.200  2.3555
  276   0.200  2.3565
  277   0.200  2.3575
  278   0.200  2.3585
  279   0.200  2.3595
  280   0.200  2.3605
  281   0.200  2.3615
  282   0.200  2.3625
  283   0.200  2.3635
  284   0.200  2.3645
  285   0.200  2.3655
  286   0.200  2.3665
  287   0.200  2.3675
  288   0.200  2.3685
  289   0.200  2.3695
  290   0.200  2.3705
  291   0.200  2.3715
  292   0.200  2.3725
  293   0.200  2.3735
  294   0.200  2.3745
  295   0.200  2.3755
  296   0.200  2.3765
  297   0.200  2.3775
  298   0.200  2.3785
  299   0.200  2.3795
  300   0.200  2.3805
  301   0.200  2.3815
  302   0.200  2.3825
  303   0.200  2.3835
  304   0.200  2.3845
  305   0.200  2.3855
  306   0.200  2.3865
  307   0.200  2.3875
  308   0.200  2.3885
  309   0.200  2.3895
  310   0.200  2.3905
  311   0.200  2.3915
  312   0.200  2.3925
  313   0.200  2.3935
  314   0.200  2.3945
  315   0.200  2.3955
  316   0.200  2.3965
  317   0.200  2.3975
  318   0.200  2.3985
  319   0.200  2.3995
  320   0.200  2.4005
  321   0.200  2.4015
  322   0.200  2.4025
  323   0.200  2.4035
  324   0.200  2.4045
  325   0.200  2.4055
  326   0.200  2.4065
  327   0.200  2.4075
  328   0.200  2.4085
  329   0.200  2.4095
  330   0.200  2.4105
  331   0.200  2.4115
  332   0.200  2.4125
  333   0.200  2.4135
  334   0.200  2.4145
  335   0.200  2.4155
  336   0.200  2.4165
  337   0.200  2.4175
  338   0.200  2.4185
  339   0.200  2.4195
  340   0.200  2.4205
  341   0.200  2.4215
  342   0.200  2.4225
  343   0.200  2.4235
  344   0.200  2.4245
  345   0.200  2.4255
  346   0.200  2.4265
  347   0.200  2.4275
  348   0.200  2.4285
  349   0.200  2.4295
  350   0.200  2.4305
  351   0.200  2.4315
  352   0.200  2.4325
  353   0.200  2.4335
  354   0.200  2.4345
  355   0.200  2.4355
  356   0.200  2.4365
  357   0.200  2.4375
  358   0.200  2.4385
  359   0.200  2.4395
  360   0.200  2.4405
  361   0.200  2.4415
  362   0.200  2.4425
  363   0.200  2.4435
  364   0.200  2.4445
  365   0.200  2.4455
  366   0.200  2.4465
  367   0.200  2.4475
  368   0.200  2.4485
  369   0.200  2.4495
  370   0.200  2.4505
  371   0.200  2.4515
  372   0.200  2.4525
  373   0.200  2.4535
  374   0.200  2.4545
  375   0.200  2.4555
  376   0.200  2.4565
  377   0.200  2.4575
  378   0.200  2.4585
  379   0.200  2.4595
  380   0.200  2.4605
  381   0.200  2.4615
  382   0.200  2.4625
  383   0.200  2.4635
  384   0.200  2.4645
  385   0.200  2.4655
  386   0.200  2.4665
  387   0.200  2.4675
  388   0.200  2.4685
  389   0.200  2.4695
  390   0.200  2.4705
  391   0.200  2.4715
  392   0.200  2.4725
  393   0.200  2.4735
  394   0.200  2.4745
  395   0.200  2.4755
  396   0.200  2.4765
  397   0.200  2.4775
  398   0.200  2.4785
  399   0.200  2.4795

