# Porb (h) / M2 / M2_err / R2 / R2_err / epsilon / epsilon_err / mwd
2.5982 0.237 0.051 0.276 0.020 0.0760 0.0010 0.81 #V795 Her
2.7614 0.197 0.042 0.270 0.019 0.0625 0.0005 0.81 #V592 Cas
3.0530 0.275 0.059 0.323 0.023 0.0887 0.0016 0.81 #AH Men
#3.2786 0.197 0.010 0.303 0.005 0.0644 0.0020 0.81 #DW UMa
3.3012 0.263 0.056 0.335 0.024 0.0847 0.0007 0.81 #TT Ari
3.5124 0.278 0.060 0.356 0.025 0.0898 0.0014 0.81 #PX And
3.5352 0.225 0.048 0.333 0.024 0.0719 0.0020 0.81 #V533 Her
3.5808 0.291 0.062 0.366 0.026 0.0939 0.0010 0.81 #BB Dor
3.7380 0.246 0.053 0.356 0.026 0.0790 0.0030 0.81 #BH Lyn
