# Porb (h) / M2 / M2_err / R2 / R2_err / epsilon / epsilon_err / mwd
1.8984 0.134 0.030 0.185 0.014 0.0412 0.0030  0.75 #NSV 9923
1.9080 0.112 0.027 0.175 0.014 0.0340 0.0040  0.75 #BR Lup
1.9502 0.202 0.033 0.216 0.012 0.0471 0.0010  0.75 #V1974 Cyg
1.9702 0.129 0.028 0.188 0.014 0.0397 0.0022  0.75 #TU Crt
2.0194 0.135 0.030 0.194 0.014 0.0417 0.0022  0.75 #TY PsA
2.0287 0.121 0.027 0.187 0.014 0.0368 0.0031  0.75 #KK Tel
2.0304 0.159 0.035 0.205 0.015 0.0497 0.0033  0.75 #V452 Cas
#2.0604 0.165 0.013 0.209 0.006 0.0343 0.0011 1.09 #DV UMa
2.0832 0.176 0.038 0.216 0.016 0.0553 0.0026  0.75 #YZ Cnc
2.1365 0.145 0.032 0.206 0.015 0.0449 0.0025  0.75 #GX Cas
2.3460 0.197 0.043 0.242 0.018 0.0623 0.0035  0.75 #NY Ser
2.4442 0.202 0.045 0.251 0.019 0.0640 0.0040  0.75 #V348 Pup
2.5982 0.237 0.051 0.276 0.020 0.0760 0.0010  0.75 #V795 Her
2.7614 0.197 0.042 0.270 0.019 0.0625 0.0005  0.75 #V592 Cas
2.8128 0.225 0.049 0.286 0.021 0.0717 0.0032  0.75 #TU Men
3.0530 0.275 0.059 0.323 0.023 0.0887 0.0016  0.75 #AH Men
#3.2786 0.197 0.010 0.303 0.005 0.0644 0.0020  0.73 #DW UMa
3.3012 0.263 0.056 0.335 0.024 0.0847 0.0007  0.75 #TT Ari
3.3144 0.242 0.044 0.327 0.020 0.0572 0.0052  1.0 #V603 Aql
3.5124 0.278 0.060 0.356 0.025 0.0898 0.0014  0.75 #PX And
3.5352 0.225 0.048 0.333 0.024 0.0719 0.0020  0.75 #V533 Her
3.5808 0.291 0.062 0.366 0.026 0.0939 0.0010  0.75 #BB Dor
3.7380 0.246 0.053 0.356 0.026 0.0790 0.0030  0.75 #BH Lyn
#3.9259 0.197 0.041 0.342 0.024 0.0702 0.0014  0.67 #UU Aqr
