# Porb (d) / Porb_err (d) / Psh (d) / Psh (d)
0.07427 0.00001 0.076916 0.000014  #VW Hyi (2012,K14b,B,Q=A) # Porb from Schoembs 1981
#0.0744992631 0.0000000001 0.077360 0.000082  #Z Cha (2014,K15,B,Q=B)
0.074572 0.000001 0.077012 0.000014  #QW Ser (2000,K09,B,Q=B) # Porb from K14a
0.0748134 0.0000002 0.077616 0.000037  #WX Hyi (2014,K14b,B,Q=C) # Porb from Schoembs 1981
0.07498 0.00005 0.078510 0.000028  #BK Lyn (2012,K13,B,Q=B) # Porb from Ringwald 1996
0.07603005 0.00000002 0.078675 0.000035  #RZ Leo (2016,K16,B,Q=A) # Porb from K16
0.07621 0.00010 0.079376 0.000037  #AW Gem (2011,K12,B,Q=B) # Porb from Patterson 2005
0.076351 0.00004 0.079091 0.000046  #SU UMa (1999,K09,B,Q=A) # Porb from Thorstensen 1986
0.07657 0.00016 0.079390 0.000051 #SDSS J1730 (2002,K09,B,Q=C) # Porb from Thorstensen 2015
0.0769 0.0002 0.080028 0.000032  #HS Vir (2008,K09,B,Q=C) # Porb from Patterson 2003
0.077773 0.000002 0.081309 0.000062  #V503 Cyg (2011,K13,B,Q=B) # Porb from K13
0.0779  0.0003  0.081064 0.000026  #V359 Cen (2014,K14b,B,Q=B) # Porb from Patterson 2003
0.0780541 0.0000003 0.080941 0.000038  #CU Vel (2002,K09,B,Q=B) # Porb from K14b
0.0791 0.0002 0.082378 0.000020  #NSV 9923/V728 CrA (2003,K09,B,Q=C) # Porb from Patterson 2005
0.07948 0.00020 0.082241 0.000037  #BR Lup (2014,K15,B,Q=B) # Porb from K15
0.08125970 0.00000005 0.08522 0.00002 #V1974 Cyg (?) # Porb and Psh from Shugarov 2002
0.08209 0.00009 0.085175 0.000087  #TU Crt (2001,K09,B,Q=B) # Porb from Patterson 2003
0.08423 0.00001 0.087809 0.000019  #TY PsA (2012,K14a,B,Q=A) # Porb from K14a
0.08453 0.00021 0.087606 0.000023  #KK Tel (2015,K15,B,Q=B) # Porb from Patterson 2003
0.08460 0.00020 0.088828 0.000088  #V452 Cas (2016,K016,B,Q=C) # Porb from Patterson 2005
#0.0858526521 0.0000000001 0.088800 0.000030  #DV UMa (1997,K09,B,Q=A)
0.0868 0.0002 0.090648 0.000096 #YZ Cnc (2011,K14a,B,Q=B) # Porb from Shafter 1988
0.08902 0.00016 0.092998 0.000054  #GX Cas (2010,K12,B,Q=B) # Porb from Patterson 2003
0.097531 0.000004 0.104531 0.000037  #NY Ser (2013,K09,B,Q=?) # Porb and Psh from Pavlenko 2014   
0.101838931 0.00000014 0.10857 0.00002 #V348 Pup (1993,-) # Porb + Psh from Rolf 2000
0.10826 0.00001 0.0 #V795 Her -
0.11506 0.00001 0.0 #V592 Cas -
0.1172 0.0002 0.125721 0.000035 #TU Men (1980,K09,B,Q=B)
0.12721 0.00006  #AH Men -
#0.13661 0.00001  #DW UMa —
0.13755 0.00001  #TT Ari -
0.13820103 0.00000008 0.14686 0.00007 #V603 Aql (1994,-) # Porb from Peters 2006, Psh from Patterson 1997 
0.14635 0.00001  #PX And -
0.1473  0.0002   #V533 Her -
0.1492  0.0001   #BB Dor —
0.15575 0.00001  #BH Lyn -
#0.1638049430 0.0000000005 0.17510 0.00018 #UU Aqr (2000,-) # Porb from Baptista 2008, Psh from Patterson 2005


# Kato 2009
0.0563099 0.0000006 0.057133 0.000010 #V455 And (2007,K09,B,Q=A) # Porb from Kozhevnikov 2015
0.056365 0.000007 0.057203 0.000015 #V466 And (2008,K09,B,Q=A) # Porb from K09
0.07596 0.00008 0.078958 0.000014 #EG Aqr (2006,K09,B,Q=A) # Porb from Woudt 2012
0.084176 0.000021 0.087887 0.000019 #BF Ara (2002,K09,B,Q=C) # Porb from Olech 2008
#0.040995 0.000020 0.042164 0.000010 #V485 Cen (2004,K09,B,Q=B) # AM CVn-type
0.06377 0.00008 0.065833 0.000027 #V632 Cyg (2008,K09,B,Q=B) # Porb from Sheets 2007
0.07433 0.00006 0.075973 0.000020 #V1251 Cyg (2008,K09,B,Q=A) # Porb from K09
0.0808 0.0009 0.083822 0.000073 #CP Dra (2009,K09,B,Q=B) # Porb from Shears 2011
0.07826 0.00008 0.080994 0.000012 #V660 Her (2004,K09,B,Q=C) # Porb from Thorstensen 2003
0.05332 0.00002 0.054095 0.000010 #GW Lib (2007,K09,B,Q=A) # Porb from Thorstensen 2002
0.09167 0.0008 0.096559 0.000228 #AD Men (2004,K09,B,Q=C) # Porb from Schmidtobreick Tappert 2006
0.072707 0.000005 0.074755 0.000019 #DT Oct (2003,K09,B,Q=A) # Porb from K14b
#0.044567 0.000020 0.046349 0.000007 #EI Psc (2001,K09,B,Q=A) # AM CVn-type
#0.0614296757 0.000000001 0.063510 0.000043 #V4140 Sgr (2004,K09,B,Q=C)
0.05334 0.00002 0.054194 0.000025 #UW Tri (2008,K09,B,Q=B) # Porb from K09
0.06799 0.00002 0.070180 0.000014 #BZ UMa (2007,K09,B,Q=A) # Porb from Jurcevic 1994
0.0679 0.0003 0.069916 0.000028 #NSV 4838/SDSS J1023 (2007,K09,B,Q=B) # Porb from Thorstensen 2015
0.07531 0.00008 0.078399 0.000036 #V342 Cam/1RXS J0423 (2008,K09,B,Q=B) # Porb from Shears 2011
0.054895 0.000023 0.055987 0.000017 #ASAS J0233/HO Cet (2006,K09,B,Q=A) # Porb from K09
0.06136 0.00006 0.063355 0.000016 #ASAS J1025 (2006,K09,B,Q=A) # Porb from K09
0.063381 0.000020 0.064970 0.000017 #ASAS J1600/V453 Nor (2005,K09,B,Q=A) # Porb from K09
0.08022 0.00002 0.084237 0.000049 #CTCV J0549/AR Pic (2006,K09,C,Q=B) # Porb from Coppejans 2016
0.07461448 0.00000020 0.077099 0.000022 #Ha 0242/AY For (2006,K09,B,Q=C)
0.07034 0.00019 0.071471 0.000023 #SDSS J0838 (2009,K09,C,Q=C) # Porb from Thorstensen 2015
0.0653187306 0.0000000002 0.067136 0.000023 #SDSS J1524 (2009,K09,B,Q=B)
#0.10008209 0.00000002 0.105065 0.000083 #SDSS J170213 (2005,K09,B,Q=B)
0.05550 0.00002 0.056892 0.000028 #OT J0042/V500 And (2008,K09,B,Q=B) # Porb from K09
0.05281 0.00006 0.053658 0.000007 #OT J0238/CT Tri (2008,K09,B,Q=B) # Porb from K09
0.07485 0.00005 0.076518 0.000021 #OT J0814/CSS080409 (2008,K09,B,Q=C) # Porb from Thorstensen 2012
0.05847 0.00002 0.058965 0.000009 #OT J1112 (2007,K09,B,Q=B) # Porb from K09
0.06267 0.00001 0.064388 0.000036 #OT J1300/CSS080702 (2008,K09,B,Q=C) # Porb from Woudt 2012
0.054868 0.000020 0.055585 0.000022 #TSS J0222/V572 And (2005,K09,B,Q=B) # Porb from K09


# Kato 2010
0.082417 0.000028 0.085096 0.000034 #BG Ari/PG 0149/SDSS J0151 (2009,K10,B,Q=B) # Porb from Shears 2011
0.06035 0.00003 0.061322 0.000026 #KX Aql (2010,K10,C,Q=B) # Porb from Thorstensen 2003
